2025-12-14 18:25:10,676 | INFO | app | add called: 5/3
2025-12-14 18:25:10,677 | INFO | app | mul called: 3/2
2025-12-14 18:25:10,678 | INFO | app | div called: 4/2
2025-12-14 18:25:13,197 | INFO | app | add called: 5/3
2025-12-14 18:25:13,198 | INFO | app | mul called: 3/2
2025-12-14 18:25:13,200 | INFO | app | div called: 4/2
2025-12-14 20:11:13,591 | INFO | app | add called: 5/3
2025-12-14 20:11:13,592 | INFO | app | mul called: 3/2
2025-12-14 20:11:13,593 | INFO | app | div called: 4/2
2025-12-14 20:11:15,562 | INFO | app | add called: 5/3
2025-12-14 20:11:15,563 | INFO | app | mul called: 3/2
2025-12-14 20:11:15,564 | INFO | app | div called: 4/2
2025-12-14 20:12:44,440 | INFO | app | add called: 5/3
2025-12-14 20:12:44,441 | INFO | app | mul called: 3/2
2025-12-14 20:12:44,452 | INFO | app | div called: 4/2
2025-12-14 20:12:46,301 | INFO | app | add called: 5/3
2025-12-14 20:12:46,302 | INFO | app | mul called: 3/2
2025-12-14 20:12:46,302 | INFO | app | div called: 4/2
2025-12-14 20:14:25,263 | INFO | app | add called: 5/3
2025-12-14 20:14:25,264 | INFO | app | mul called: 3/2
2025-12-14 20:14:25,265 | INFO | app | div called: 4/2
2025-12-14 20:14:27,083 | INFO | app | add called: 5/3
2025-12-14 20:14:27,084 | INFO | app | mul called: 3/2
2025-12-14 20:14:27,085 | INFO | app | div called: 4/2
2025-12-14 20:15:20,689 | INFO | app | add called: 5/3
2025-12-14 20:15:20,690 | INFO | app | mul called: 3/2
2025-12-14 20:15:20,690 | INFO | app | div called: 4/2
2025-12-14 20:15:22,562 | INFO | app | add called: 5/3
2025-12-14 20:15:22,563 | INFO | app | mul called: 3/2
2025-12-14 20:15:22,564 | INFO | app | div called: 4/2
2025-12-14 20:29:38,181 | INFO | app | add called: 5/3
2025-12-14 20:29:38,181 | INFO | app | mul called: 3/2
2025-12-14 20:29:38,182 | INFO | app | div called: 4/2
2025-12-14 20:29:40,272 | INFO | app | add called: 5/3
2025-12-14 20:29:40,273 | INFO | app | mul called: 3/2
2025-12-14 20:29:40,274 | INFO | app | div called: 4/2
2025-12-15 17:46:32,840 | INFO | app | add called: 5/3
2025-12-15 17:46:32,841 | INFO | app | mul called: 3/2
2025-12-15 17:46:32,841 | INFO | app | div called: 4/2
2025-12-15 17:46:35,024 | INFO | app | add called: 5/3
2025-12-15 17:46:35,024 | INFO | app | mul called: 3/2
2025-12-15 17:46:35,025 | INFO | app | div called: 4/2
2025-12-15 17:53:52,193 | INFO | app | add called: 5/3
2025-12-15 17:53:52,193 | INFO | app | mul called: 3/2
2025-12-15 17:53:52,194 | INFO | app | div called: 4/2
2025-12-15 17:53:53,844 | INFO | app | add called: 5/3
2025-12-15 17:53:53,845 | INFO | app | mul called: 3/2
2025-12-15 17:53:53,845 | INFO | app | div called: 4/2
2025-12-15 18:34:00,532 | INFO | app | add called: 5/3
2025-12-15 18:34:00,533 | INFO | app | mul called: 3/2
2025-12-15 18:34:00,533 | INFO | app | div called: 4/2
2025-12-15 18:34:02,437 | INFO | app | add called: 5/3
2025-12-15 18:34:02,437 | INFO | app | mul called: 3/2
2025-12-15 18:34:02,438 | INFO | app | div called: 4/2
2025-12-15 18:34:34,100 | INFO | app | add called: 5/3
2025-12-15 18:34:34,101 | INFO | app | mul called: 3/2
2025-12-15 18:34:34,101 | INFO | app | div called: 4/2
2025-12-15 18:34:35,769 | INFO | app | add called: 5/3
2025-12-15 18:34:35,770 | INFO | app | mul called: 3/2
2025-12-15 18:34:35,770 | INFO | app | div called: 4/2
2025-12-15 20:22:25,299 | INFO | app | add called: 5/3
2025-12-15 20:22:25,299 | INFO | app | mul called: 3/2
2025-12-15 20:22:25,300 | INFO | app | div called: 4/2
2025-12-15 20:22:27,127 | INFO | app | add called: 5/3
2025-12-15 20:22:27,127 | INFO | app | mul called: 3/2
2025-12-15 20:22:27,128 | INFO | app | div called: 4/2
2025-12-15 23:51:14,224 | INFO | app | add called: 5/3
2025-12-15 23:51:14,225 | INFO | app | mul called: 3/2
2025-12-15 23:51:14,225 | INFO | app | div called: 4/2
2025-12-15 23:52:53,138 | INFO | app | add called: 5/3
2025-12-15 23:52:53,138 | INFO | app | mul called: 3/2
2025-12-15 23:52:53,139 | INFO | app | div called: 4/2
2025-12-15 23:54:18,981 | INFO | app | add called: 5/3
2025-12-15 23:54:18,981 | INFO | app | mul called: 3/2
2025-12-15 23:54:18,982 | INFO | app | div called: 4/2
2025-12-15 23:56:27,914 | INFO | app | add called: 5/3
2025-12-15 23:56:27,914 | INFO | app | mul called: 3/2
2025-12-15 23:56:27,915 | INFO | app | div called: 4/2
2025-12-16 00:03:23,551 | INFO | app | add called: 5/3
2025-12-16 00:03:23,553 | INFO | app | mul called: 3/2
2025-12-16 00:03:23,553 | INFO | app | div called: 4/2
2025-12-16 00:11:31,131 | INFO | app | add called: 5/3
2025-12-16 00:11:31,131 | INFO | app | mul called: 3/2
2025-12-16 00:11:31,132 | INFO | app | div called: 4/2
